997855011-9,Riot in Cell Block 11,Diane Sturge;Rutter Hedworth,7,Prayer,Available,1
997372511-5,New York Stories,Towney Bovey;Adel Treamayne,6,Diary,Borrowed,1
997372511-5,New York Stories,Towney Bovey;Adel Treamayne,6,Diary,Available,2
997372511-5,New York Stories,Towney Bovey;Adel Treamayne,6,Diary,Available,3
997001031-X,976-EVIL,Ignacio De Angelis;Sheri McGaughie,8,Science fiction,Available,1
997001031-X,976-EVIL,Ignacio De Angelis;Sheri McGaughie,8,Science fiction,Available,2
996774175-9,Private Fears in Public Places (Coeurs),Fairfax Bullingham;Tania Phidgin,8,Poetry,Available,1
996017989-3,Black Moon,Datha Loveday;Koral Ramsbotham,1,Cookbook,Available,1
996017989-3,Black Moon,Datha Loveday;Koral Ramsbotham,1,Cookbook,Borrowed,2
996017989-3,Black Moon,Datha Loveday;Koral Ramsbotham,1,Cookbook,Available,3
993490959-6,Trancers II,Sharron Dudson;Reinhold Sommerfeld,1,Coming-of-age,Available,1
991067233-2,"Eel The (Unagi)",Leonora Girk;Valentijn Le Grice,5,Science,Available,1
991067233-2,"Eel The (Unagi)",Leonora Girk;Valentijn Le Grice,5,Science,Available,2
991067233-2,"Eel The (Unagi)",Leonora Girk;Valentijn Le Grice,5,Science,Available,3
991067233-2,"Eel The (Unagi)",Leonora Girk;Valentijn Le Grice,5,Science,Available,4
988393512-9,Majesteit,Evangelin Bonwell;Elinor Hauch,4,Comic book,Available,1
988393512-9,Majesteit,Evangelin Bonwell;Elinor Hauch,4,Comic book,Available,2
988393512-9,Majesteit,Evangelin Bonwell;Elinor Hauch,4,Comic book,Available,3
988393512-9,Majesteit,Evangelin Bonwell;Elinor Hauch,4,Comic book,Available,4
984620653-4,"Magic Voyage of Sindbad The (Sadko)",Amalie Dearell;Roxie Le Lievre,9,Mystery,Available,1
984620653-4,"Magic Voyage of Sindbad The (Sadko)",Amalie Dearell;Roxie Le Lievre,9,Mystery,Available,2
984620653-4,"Magic Voyage of Sindbad The (Sadko)",Amalie Dearell;Roxie Le Lievre,9,Mystery,Available,3
984620653-4,"Magic Voyage of Sindbad The (Sadko)",Amalie Dearell;Roxie Le Lievre,9,Mystery,Available,4
980464888-1,Midnight,Nevile Runsey;Raviv Garratt,3,Anthology,Available,1
980464888-1,Midnight,Nevile Runsey;Raviv Garratt,3,Anthology,Available,2
980464888-1,Midnight,Nevile Runsey;Raviv Garratt,3,Anthology,Borrowed,3
980464888-1,Midnight,Nevile Runsey;Raviv Garratt,3,Anthology,Available,4
972011242-5,Sun on the Horizon,Alexandro Sokill;Gris De Ruggiero,5,Mystery,Available,1
